feature_1,feature_2,pearson_r
uric_acid_first_was_measured,uric_acid_mean_was_measured,1.0
uric_acid_count,albumin_count,0.9965
ck_max_was_measured,ldh_max_was_measured,0.9942
ck_max_was_measured,ldh_min_was_measured,0.9942
ck_max_was_measured,ldh_mean_was_measured,0.9942
ck_max_was_measured,ldh_first_was_measured,0.9942
ck_min,ck_max,0.9826
ck_min_was_measured,ldh_max_was_measured,0.9942
ck_min_was_measured,ldh_min_was_measured,0.9942
ck_min_was_measured,ldh_mean_was_measured,0.9942
ck_min_was_measured,ldh_first_was_measured,0.9942
ck_min_was_measured,ck_max_was_measured,1.0
ck_mean,ck_max,0.9957
ck_mean,ck_min,0.9956
ck_mean_was_measured,ldh_max_was_measured,0.9942
ck_mean_was_measured,ldh_min_was_measured,0.9942
ck_mean_was_measured,ldh_mean_was_measured,0.9942
ck_mean_was_measured,ldh_first_was_measured,0.9942
ck_mean_was_measured,ck_max_was_measured,1.0
ck_mean_was_measured,ck_min_was_measured,1.0
ck_first,ck_max,0.9998
ck_first,ck_min,0.9828
ck_first,ck_mean,0.9957
ck_first_was_measured,ldh_max_was_measured,0.9942
ck_first_was_measured,ldh_min_was_measured,0.9942
ck_first_was_measured,ldh_mean_was_measured,0.9942
ck_first_was_measured,ldh_first_was_measured,0.9942
ck_first_was_measured,ck_max_was_measured,1.0
ck_first_was_measured,ck_min_was_measured,1.0
ck_first_was_measured,ck_mean_was_measured,1.0
ck_count,ldh_count,0.9895
spo2_min_was_measured,spo2_max_was_measured,1.0
spo2_mean_was_measured,spo2_max_was_measured,1.0
spo2_mean_was_measured,spo2_min_was_measured,1.0
spo2_first_was_measured,spo2_max_was_measured,1.0
spo2_first_was_measured,spo2_min_was_measured,1.0
spo2_first_was_measured,spo2_mean_was_measured,1.0
systolic_bp_min_was_measured,systolic_bp_max_was_measured,1.0
systolic_bp_mean_was_measured,systolic_bp_max_was_measured,1.0
systolic_bp_mean_was_measured,systolic_bp_min_was_measured,1.0
systolic_bp_first_was_measured,systolic_bp_max_was_measured,1.0
systolic_bp_first_was_measured,systolic_bp_min_was_measured,1.0
