feature_1,feature_2,pearson_r
albumin_first,albumin_max,0.9946
albumin_first,albumin_min,0.9888
albumin_first,albumin_mean,0.9958
albumin_first_was_measured,ast_max_was_measured,0.9976
albumin_first_was_measured,ast_min_was_measured,0.9976
albumin_first_was_measured,ast_mean_was_measured,0.9976
albumin_first_was_measured,ast_first_was_measured,0.9976
albumin_first_was_measured,albumin_max_was_measured,1.0
albumin_first_was_measured,albumin_min_was_measured,1.0
albumin_first_was_measured,albumin_mean_was_measured,1.0
albumin_count,ast_count,0.9826
crp_min_was_measured,crp_max_was_measured,1.0
crp_mean_was_measured,crp_max_was_measured,1.0
crp_mean_was_measured,crp_min_was_measured,1.0
crp_first,crp_min,0.983
crp_first_was_measured,crp_max_was_measured,1.0
crp_first_was_measured,crp_min_was_measured,1.0
crp_first_was_measured,crp_mean_was_measured,1.0
ldh_min_was_measured,ldh_max_was_measured,1.0
ldh_mean_was_measured,ldh_max_was_measured,1.0
ldh_mean_was_measured,ldh_min_was_measured,1.0
ldh_first_was_measured,ldh_max_was_measured,1.0
ldh_first_was_measured,ldh_min_was_measured,1.0
ldh_first_was_measured,ldh_mean_was_measured,1.0
urea_min_was_measured,urea_max_was_measured,1.0
urea_mean,urea_max,0.9938
urea_mean,urea_min,0.9907
urea_mean_was_measured,urea_max_was_measured,1.0
urea_mean_was_measured,urea_min_was_measured,1.0
urea_first,urea_max,0.9857
urea_first,urea_min,0.9847
urea_first,urea_mean,0.9932
urea_first_was_measured,urea_max_was_measured,1.0
urea_first_was_measured,urea_min_was_measured,1.0
urea_first_was_measured,urea_mean_was_measured,1.0
uric_acid_max_was_measured,ast_max_was_measured,0.9967
uric_acid_max_was_measured,ast_min_was_measured,0.9967
uric_acid_max_was_measured,ast_mean_was_measured,0.9967
uric_acid_max_was_measured,ast_first_was_measured,0.9967
uric_acid_max_was_measured,albumin_max_was_measured,0.9987
uric_acid_max_was_measured,albumin_min_was_measured,0.9987
uric_acid_max_was_measured,albumin_mean_was_measured,0.9987
uric_acid_max_was_measured,albumin_first_was_measured,0.9987
uric_acid_min,uric_acid_max,0.9939
uric_acid_min_was_measured,ast_max_was_measured,0.9967
uric_acid_min_was_measured,ast_min_was_measured,0.9967
uric_acid_min_was_measured,ast_mean_was_measured,0.9967
uric_acid_min_was_measured,ast_first_was_measured,0.9967
uric_acid_min_was_measured,albumin_max_was_measured,0.9987
uric_acid_min_was_measured,albumin_min_was_measured,0.9987
uric_acid_min_was_measured,albumin_mean_was_measured,0.9987
uric_acid_min_was_measured,albumin_first_was_measured,0.9987
uric_acid_min_was_measured,uric_acid_max_was_measured,1.0
uric_acid_mean,uric_acid_max,0.9983
uric_acid_mean,uric_acid_min,0.9986
uric_acid_mean_was_measured,ast_max_was_measured,0.9967
uric_acid_mean_was_measured,ast_min_was_measured,0.9967
uric_acid_mean_was_measured,ast_mean_was_measured,0.9967
uric_acid_mean_was_measured,ast_first_was_measured,0.9967
uric_acid_mean_was_measured,albumin_max_was_measured,0.9987
uric_acid_mean_was_measured,albumin_min_was_measured,0.9987
uric_acid_mean_was_measured,albumin_mean_was_measured,0.9987
uric_acid_mean_was_measured,albumin_first_was_measured,0.9987
uric_acid_mean_was_measured,uric_acid_max_was_measured,1.0
uric_acid_mean_was_measured,uric_acid_min_was_measured,1.0
uric_acid_first,uric_acid_max,0.9973
uric_acid_first,uric_acid_min,0.9966
uric_acid_first,uric_acid_mean,0.9986
uric_acid_first_was_measured,ast_max_was_measured,0.9967
uric_acid_first_was_measured,ast_min_was_measured,0.9967
uric_acid_first_was_measured,ast_mean_was_measured,0.9967
uric_acid_first_was_measured,ast_first_was_measured,0.9967
uric_acid_first_was_measured,albumin_max_was_measured,0.9987
uric_acid_first_was_measured,albumin_min_was_measured,0.9987
uric_acid_first_was_measured,albumin_mean_was_measured,0.9987
uric_acid_first_was_measured,albumin_first_was_measured,0.9987
uric_acid_first_was_measured,uric_acid_max_was_measured,1.0
uric_acid_first_was_measured,uric_acid_min_was_measured,1.0
uric_acid_first_was_measured,uric_acid_mean_was_measured,1.0
