feature,federated_mean_abs_shap,CICU_mean_abs_shap,NICU_mean_abs_shap,PICU_mean_abs_shap,SICU_mean_abs_shap
inr_trend,0.030427660884125116,0.05311138121156558,0.10699644479513772,0.036520097183751,0.03295341154387056
bicarbonate_first,0.03012426978418095,0.05907149118256022,0.04413118937805847,0.07787502858585471,0.06495308584179535
lactate_min,0.0300068008245388,0.022658037458092462,0.07252894380889634,0.06622839949747099,0.05591439971179873
bilirubin_trend,0.029454639131575984,0.029987465933192688,0.0997108257448393,0.023913430031413142,0.04616811112422984
inr_mean,0.02938257774824258,0.05800030634600077,0.06400259316264696,0.07954882316776744,0.04410556194215723
diastolic_bp_max,0.027715734256957447,0.018464985336572235,0.06532001861143058,0.05339564463749124,0.05706357213261085
pt_min,0.025802096383085105,0.028256112287543787,0.07762642183661872,0.02977166845209152,0.04428809322612182
heart_rate_mean,0.02433199310212876,0.06789422465507072,0.032124959576061235,0.04396024750187591,0.05767471756214418
resp_rate_first,0.023616202266472243,0.02432245307013476,0.08764105950821484,0.03699087809665997,0.022895439929198277
urea_first,0.023317164538002255,0.025828624085432926,0.04943774286704587,0.03661127206492944,0.05321679384428559
diastolic_bp_mean,0.022538056087479136,0.016039033584919996,0.05249058073520824,0.039310674667667536,0.04838313946378817
ptt_max,0.02159246911157615,0.07154056748361823,0.041270596284341904,0.03412436035804244,0.039288813059232854
map_max,0.021150460757365257,0.013571886976401442,0.054353504488263885,0.034369794514061754,0.04262020433229149
resp_rate_mean,0.020788332839200535,0.03834361383501149,0.06037522385950637,0.028297932418505138,0.03119276016156074
potassium_first,0.020574419166471916,0.032864058550511235,0.046798930225909745,0.034271075289474935,0.0405564219523636
platelets_max,0.02055097358634577,0.04190329679909609,0.02591326070093025,0.05355476243068337,0.047192098366382766
pt_first,0.020344392128098687,0.0528456359818313,0.04096598602182678,0.03998747237233935,0.036122811920576064
pao2_mean,0.020119107009587262,0.054538442296607856,0.03453109061343506,0.03326346650137442,0.042764665729531595
ldh_mean,0.019762695839654273,0.044238318332496016,0.03650465966585122,0.03937363208102698,0.03966917621130495
anc_max,0.019508380977898532,0.07554193527183825,0.04410654614151808,0.039280035154664876,0.02303924507268634
calcium_first,0.019357160332475795,0.03662019084216149,0.035217343903467216,0.028639755865863484,0.04545616442535707
temperature_max,0.019307535559521756,0.03742748893029253,0.03420239996523853,0.036698381928084556,0.042400281084990984
glucose_mean,0.018553895041795637,0.06999248082527901,0.03699159398738523,0.03139481671219152,0.0291454694381573
map_mean,0.018003245667573452,0.014991529696174141,0.0417269867679275,0.029628942679496725,0.038944920244873206
ck_mean,0.017226905766488453,0.03236249296164692,0.032880287821757156,0.04773008065381401,0.02976998852398499
systolic_bp_min,0.01716278930361812,0.010285238686162565,0.03471427433658123,0.03361463964330676,0.04025180604315649
n_antibiotics_24h,0.016459323379473353,0.05312552190488168,0.01836890621383371,0.06040211605659928,0.026732640238892193
inr_first,0.016243598419797906,0.03767151310884141,0.051511341928035595,0.01986063772888479,0.019471088475968238
ck_max,0.015548220140113391,0.028923317194310533,0.02957270933263001,0.043376011456226604,0.026911852713159014
spo2_lab_min,0.015469135628990292,0.05682753708909728,0.020223600496195985,0.029268769925986707,0.032346035922917675
ck_first,0.015296211973108882,0.028837040476356164,0.02908492022809061,0.04223082010783735,0.026560811106536297
fibrinogen_mean,0.014950905399574946,0.0499965804740922,0.011690433250805146,0.028573437728293263,0.039158619636606606
ldh_max,0.014902512797217219,0.016552067454162173,0.025254909238180877,0.04877492034941726,0.028539889899920526
base_excess_max,0.014869585992731128,0.015169794553017566,0.022369191723376296,0.06679131041137003,0.023536174277069836
systolic_bp_first,0.014525034958516161,0.010235157435915089,0.035981110488014535,0.018798567676712816,0.032180306075209913
anc_first,0.014500614777397818,0.030197378258574954,0.025755813359433298,0.02287009868302945,0.0331808472530439
fluid_balance_ml,0.014091708445743496,0.030790716537633545,0.007114839121143968,0.012408671104706528,0.051057415111791835
crp_min,0.013829091186584926,0.03671154821008407,0.019363930762438943,0.050479725799094925,0.021550381863500483
potassium_trend,0.013722639479085908,0.02659555653843231,0.029844509554699236,0.02030202167697125,0.027943410380897888
wbc_trend,0.013473707244659815,0.022294750877975333,0.02499519007414601,0.04564757854924542,0.021221808284143984
inr_min,0.013444515767365089,0.030883527150399288,0.02760459652672405,0.028930061862433822,0.023520476381890105
ck_min,0.013272091191266757,0.025187387912750048,0.025324274404034515,0.036365078922405675,0.023042166706383135
