feature,federated_mean_abs_shap,CICU_mean_abs_shap,NICU_mean_abs_shap,PICU_mean_abs_shap,SICU_mean_abs_shap
bilirubin_max,0.051963011988526986,0.02073900729644123,0.08532595938202485,0.07579846595119713,0.15252036154261134
lactate_trend,0.05190788647605948,0.13762401408470865,0.10733691330073084,0.13332597288697906,0.07569225954430779
platelets_first,0.05147143458759084,0.09887921304598384,0.1286395062641059,0.1435356206255913,0.062382841312462294
hematocrit_min,0.0511583482003683,0.07514288128655522,0.17742288137094295,0.07825730463892688,0.05438364689902082
ddimer_min,0.04948843007039939,0.13621196160296098,0.04908007814611801,0.14993558667276316,0.10577287973347273
temperature_min,0.04602967834236284,0.08361809051194857,0.04840531931407708,0.1820463712724912,0.09033845241554952
hr_abnormal_for_age,0.045950377016348944,0.05080554736347017,0.06922816274176571,0.16821999572564422,0.08774957969496514
inr_min,0.04526251360904915,0.025589983547545343,0.08788489959670508,0.06747693062794331,0.1186767921079502
pao2_min,0.04250661349718002,0.11095974524745031,0.0631102157761056,0.11609118265808617,0.08037266683496966
fibrinogen_min,0.04114132837373985,0.18810872414464191,0.014794580870543628,0.06397255273764721,0.11406233977867399
fluid_balance_ml,0.04099271956723194,0.06625096199219338,0.027687093349122872,0.06240189815979267,0.1381708011381325
sbp_abnormal_for_age,0.03959062751702146,0.02171956675634442,0.08912134171089538,0.06821244333964237,0.08979507926850279
temperature_trend,0.03940389610275988,0.05885456441455811,0.08244904984994247,0.10271574086988315,0.06911636142150747
ph_trend,0.039082608286575574,0.0854987349867399,0.06527663795267456,0.07560683976253907,0.08579133668552666
lactate_mean,0.03888087656718292,0.03756205204489331,0.10273440033071127,0.08475000291863807,0.06318712387147467
heart_rate_trend,0.03883667320611761,0.09948555271187567,0.07423868198176473,0.08997736295333242,0.06688862314887166
pco2_max,0.03861088211479152,0.0646469008798415,0.0857223233209337,0.13042456588979698,0.0489158630161388
hematocrit_first,0.03816082547281699,0.05475892289909343,0.10034090959750426,0.0707091972943434,0.06258886543814988
heart_rate_max,0.0377861212794447,0.10358699063833873,0.07755064059359217,0.07349707409710417,0.06462807128241282
pao2_first,0.03563366855538478,0.0837182803867022,0.06214260640767387,0.08223226581976707,0.06870307216007444
map_max,0.030750706383961435,0.013468783635120852,0.04205097337642872,0.07805317904989438,0.08289619836100005
ast_min,0.030142029201668585,0.02117776126039844,0.0499298893056508,0.10334788052619408,0.06023184492807548
ph_max,0.02890048227010996,0.12660010645978031,0.0631668960286325,0.04371383696072248,0.03789120621253825
systolic_bp_first,0.028278477647843407,0.026304989961686377,0.0762694042108834,0.04135831778746727,0.05356864078452801
spo2_trend,0.028165835858121813,0.04470390431392106,0.025704804895307347,0.04553596241857404,0.08842578771210159
fibrinogen_first,0.0271458994178814,0.054171964393995096,0.011755042556248802,0.05839689043486063,0.08680828757624469
inr_trend,0.025991817555464033,0.07933857344376515,0.04819644975788472,0.051681131946382325,0.0459795556622214
base_excess_min,0.025929201201303657,0.028377349740051065,0.04139632937337082,0.10597669680994762,0.04294141634735118
hematocrit_mean,0.025289834282624536,0.05015296414091144,0.07782139796478424,0.03925602240300627,0.031211402362743175
systolic_bp_max,0.024539966071319513,0.020206750066156322,0.06312268013190522,0.0465689398272831,0.045274470323689524
diastolic_bp_min,0.024473213452432335,0.021527643528279593,0.05544300729581228,0.058256148841574526,0.046042282618341715
glucose_first,0.02388680252156891,0.05689278546310297,0.053358963436231546,0.050309711170244825,0.03804582272847682
temperature_first,0.023808331119316475,0.04952830696905954,0.03396172724556867,0.10325793875267926,0.033555236334572885
