y_true,oof_catboost,oof_fttransformer
0,0.10121777515868108,0.4509231448173523
1,0.29703286964828995,0.11797326803207397
1,0.9017190722877549,0.995380163192749
0,0.055092849122509384,0.012624735943973064
0,0.0554374355542963,0.015456607565283775
1,0.8445106933599867,0.24840649962425232
0,0.46258400335258854,0.8392004370689392
0,0.09639545041372861,0.35008594393730164
0,0.06943166445113445,0.028959112241864204
1,0.7159212347845245,0.9951218962669373
1,0.9214594189535077,0.9919236302375793
0,0.009919688501631404,0.02083842270076275
0,0.04151929047568335,0.0023400934878736734
0,0.06847530521333897,0.01542833261191845
0,0.0360378757830168,0.0020752607379108667
0,0.04360599609127503,0.6123127937316895
0,0.40578379165510725,0.004952669609338045
1,0.9537884261432764,0.9971895813941956
0,0.031370726410482115,0.009968363679945469
0,0.05298456283182442,0.08372265845537186
0,0.3210131133596115,0.046089768409729004
1,0.968390988540412,0.9935030341148376
0,0.14780232530804985,0.01902095414698124
0,0.014262771703661394,0.005901029333472252
0,0.2429872561101969,0.05945287272334099
1,0.9785518794799307,0.9954785704612732
0,0.013421345016147203,0.004453915636986494
0,0.028407399822716197,0.007578298915177584
0,0.09219982715493284,0.0016943265218287706
0,0.01731106013362395,0.01646917313337326
0,0.07523914769672371,0.057394322007894516
1,0.6834806534164252,0.9678163528442383
0,0.059598865265710906,0.4578110873699188
0,0.400181509161538,0.026474792510271072
0,0.1744705411912503,0.8152556419372559
0,0.06306321384244343,0.003988694399595261
1,0.9879040180719149,0.9953582882881165
0,0.018275692464786438,0.007116740569472313
1,0.9389189193070213,0.7855029702186584
0,0.019806997866196274,0.005190165713429451
0,0.046170303209953606,0.003119272878393531
0,0.3423746410409484,0.9622020125389099
0,0.039259301928833736,0.007163798902183771
0,0.01772975603353885,0.01935385726392269
0,0.015999734331282153,0.0028729953337460756
0,0.03487288718580534,0.016394995152950287
0,0.02959009615347917,0.008328930474817753
0,0.04993363576271999,0.02189025469124317
0,0.015031480972366455,0.0019517543260008097
0,0.3788665945207526,0.975760817527771
0,0.22521341364522954,0.01398476306349039
0,0.015815570764896283,0.006341492757201195
0,0.027131966796422286,0.0021205765660852194
0,0.1284083405295853,0.4663855731487274
1,0.9531506181579119,0.8393332362174988
0,0.06333127000356954,0.009175781160593033
0,0.07749195398402738,0.004216948989778757
0,0.035408141819203105,0.022328313440084457
1,0.9498743636339206,0.9970002770423889
0,0.04248483719074346,0.0023548163007944822
1,0.9521718047166606,0.9964219331741333
1,0.9654164059879657,0.9974328875541687
0,0.01537590032547369,0.005058507435023785
1,0.8579425828044948,0.9876946210861206
0,0.012980942324935033,0.006396804936230183
1,0.8687650539295583,0.9867029190063477
0,0.060033718668521294,0.01598218083381653
0,0.31492085894502353,0.5621991753578186
1,0.8918525140986917,0.9914549589157104
0,0.01852795789126873,0.06207961589097977
0,0.039495583962604004,0.002016715006902814
0,0.031603389836119884,0.02331283688545227
0,0.11039609349432848,0.5129685997962952
1,0.9181413914295936,0.9923031330108643
1,0.9419818634314426,0.9965614676475525
0,0.0312622133845452,0.05113574117422104
0,0.008891548394113123,0.005284250248223543
1,0.9801502074582894,0.9942333102226257
0,0.052331577216753904,0.03470020368695259
0,0.04998546348542468,0.05233796313405037
0,0.0596106741130594,0.0034951581619679928
1,0.9669995642532014,0.9942904710769653
0,0.04052227667285776,0.08265047520399094
1,0.821562981154377,0.9972360730171204
0,0.006709192663386529,0.005330197047442198
0,0.15595132597134856,0.2390163540840149
0,0.06416041340071282,0.015326045453548431
0,0.03419283547888105,0.021915247663855553
0,0.030158440056871415,0.012471216730773449
0,0.4020519633898988,0.8978472352027893
1,0.9617975760362198,0.9667515754699707
1,0.9388433701774632,0.9911907911300659
0,0.006650327162654752,0.0062880488112568855
0,0.04050969007529021,0.4355623126029968
0,0.03066989834756919,0.005237223580479622
0,0.03934940242283701,0.022462287917733192
0,0.04338307138536493,0.020680779591202736
0,0.050179929660888696,0.0023386445827782154
0,0.024160831612473024,0.006703199353069067
0,0.02082156682094266,0.004488853272050619
0,0.2731609890478968,0.04019417613744736
0,0.045720913896418365,0.002068002475425601
0,0.04986597707281822,0.22659429907798767
1,0.4703081772586071,0.9175052046775818
0,0.24294218586252,0.0026804872322827578
0,0.09539950370331607,0.898831844329834
0,0.2643906195603781,0.30319666862487793
0,0.029967670196958396,0.01801646314561367
1,0.9174363378345581,0.9862814545631409
0,0.29711980206725963,0.06215345486998558
0,0.04123022302767759,0.007326359394937754
0,0.012856775341391326,0.004871174227446318
0,0.02756688163462436,0.09640190005302429
0,0.10181233132385492,0.09944312274456024
0,0.04159277357368909,0.005223776679486036
0,0.056411861592978584,0.002121889730915427
0,0.040845742279699664,0.0035507252905517817
1,0.9944295521006689,0.9977567791938782
0,0.09114030580015102,0.22984296083450317
0,0.0438180542428736,0.01990368589758873
0,0.07775352117090563,0.021463634446263313
0,0.02138191045182441,0.006006348412483931
0,0.08362488713123489,0.01942048780620098
0,0.04458969083892316,0.0024146055802702904
1,0.8647276270798087,0.994806706905365
0,0.027059331442890903,0.0049688322469592094
1,0.825441333333683,0.9960193037986755
0,0.014487671434256366,0.001783868414349854
1,0.8995315243123233,0.9871883988380432
