threshold,nb_model,nb_model_calibrated,nb_treat_all,nb_treat_none
0.5,0.2227488151658768,0.22116903633491314,-0.45339652448657186,0.0
0.51,0.22078215172324855,0.22078215172324855,-0.4830576780475223,0.0
0.52,0.22037914691943128,0.22037914691943128,-0.5139547130068458,0.0
0.53,0.21995899297502605,0.21837921414406236,-0.5461665154112468,0.0
0.54,0.22007005975685143,0.219795315612336,-0.5797788309636651,0.0
0.55,0.21976478848516762,0.21976478848516762,-0.6148850272073023,0.0
0.56,0.2194456412465891,0.2194456412465891,-0.6515869596438318,0.0
0.5700000000000001,0.2143723134575113,0.21911164995040228,-0.6899959587053164,0.0
0.5800000000000001,0.21462423832092078,0.218761754306778,-0.7302339577221096,0.0
0.59,0.21434901552806998,0.21839479058297692,-0.7724347859592339,0.0
0.6,0.21406003159557663,0.21484992101105846,-0.8167456556082148,0.0
0.61,0.2121764491432738,0.2128650706849759,-0.8633288775468869,0.0
0.62,0.21185665585765362,0.21243867963748234,-0.9123638480086472,0.0
0.63,0.20993979761752274,0.21198924042525938,-0.9640493574142862,0.0
0.64,0.2095839915745129,0.21274354923644023,-1.018606284009128,0.0
0.65,0.2092078537576168,0.21236741141954413,-1.0762807492665316,0.0
0.66,0.2088095901867856,0.21196914784871293,-1.1373478301273119,0.0
0.67,0.20838718942984347,0.2115467470917708,-1.2021159461917756,0.0
0.68,0.20635860979462875,0.21109794628751974,-1.2709320695102688,0.0
0.6900000000000001,0.20588085409978088,0.21062019059267187,-1.3441879427202776,0.0
0.7000000000000001,0.20537124802527645,0.20853080568720378,-1.4223275408109535,0.0
0.7100000000000001,0.2048264967042545,0.20798605436618184,-1.505856076700987,0.0
0.72,0.20830512299706613,0.20740239223651546,-1.5953509365831637,0.0
0.73,0.20630741325844013,0.20519571704405828,-1.691475045345503,0.0
0.74,0.20585733381941915,0.2045205978855268,-1.7949933163203302,0.0
0.75,0.20537124802527645,0.2037914691943128,-1.9067930489731437,0.0
0.76,0.20326487625065826,0.20300157977883096,-2.0279094260136916,0.0
0.77,0.20111271378528747,0.20214300432722027,-2.1595576619273302,0.0
0.78,0.1989085164440615,0.2012063765618268,-2.303173919287664,0.0
0.79,0.19822462950425038,0.20018054615211012,-2.4604679154442195,0.0
0.8,0.19747235387045814,0.1990521327014218,-2.63349131121643,0.0
0.81,0.19190155483495466,0.1978049388875031,-2.8247276960172956,0.0
0.8200000000000001,0.1909777075653853,0.196419167983149,-3.0372125680182562,0.0
0.8300000000000001,0.18836539355078524,0.19329058637673077,-3.2746956602546247,0.0
0.8400000000000001,0.1872037914691943,0.1915481832543444,-3.54186413902054,0.0
0.85,0.1858873091100579,0.18957345971563982,-3.8446550816219056,0.0
0.86,0.18280297901150983,0.18731663281426314,-4.1907018731663275,0.0
0.87,0.17790740065621582,0.18471260177421317,-4.58998663264066,0.0
0.88,0.17430226434965773,0.19167983149025802,-5.055818852027383,0.0
0.89,0.17032888122935516,0.18928622720091914,-5.606347838575327,0.0
0.9,0.16587677725118483,0.18641390205371247,-6.26698262243286,0.0
0.91,0.16078637879585747,0.18290328242934878,-7.0744251360365125,0.0
0.92,0.1516587677725118,0.1753554502369668,-8.083728278041079,0.0
0.93,0.1396975851952155,0.16813360415256148,-9.381403746332662,0.0
0.9400000000000001,0.12743549236440227,0.16061084781463925,-11.111637704054777,0.0
0.9500000000000001,0.1090047393364928,0.1453396524486571,-13.533965244865739,0.0
