feature,mean_abs_shap,display_name,rank
resp_rate_mean,0.001914194040363471,resp_rate_mean,168
temperature_first,0.0017943225706535857,temperature_first,169
bilirubin_trend,0.0016309189395217005,bilirubin_trend,170
fluid_input_total_ml,0.0015545460906762523,fluid_input_total_ml,171
sodium_first,0.0014936678374004874,sodium_first,172
ck_max,0.001415784190810728,ck_max,173
symptom_erythra,0.0010062683349181959,symptom_erythra,174
spo2_lab_mean,0.0008549669460774872,spo2_lab_mean,175
symptom_phlegm_sound,0.0008124972053979104,symptom_phlegm_sound,176
symptom_cough,0.0007720056675689804,symptom_cough,177
albumin_mean,0.0007266632638592101,albumin_mean,178
urine_output_per_hour,0.0007115124748684712,urine_output_per_hour,179
creatinine_trend,0.0006113252318184374,creatinine_trend,180
map_min,0.0005224977323253197,MAP (min),181
rr_abnormal_for_age,0.0005067109528938654,rr_abnormal_for_age,182
diastolic_bp_max,0.000498121580668467,diastolic_bp_max,183
diastolic_bp_mean,0.000492895131819497,diastolic_bp_mean,184
systolic_bp_max,0.00031437135980252873,systolic_bp_max,185
shock_index,0.0002733535428115687,Shock index,186
fluid_balance_ml,0.00024703752964695886,fluid_balance_ml,187
map_first,0.00013660086696950423,map_first,188
spo2_trend,0.0001276421096178441,spo2_trend,189
symptom_cyanosis,7.328852851093034e-05,symptom_cyanosis,190
symptom_edema,5.456271599930313e-05,symptom_edema,191
symptom_listless,2.6209733974232147e-05,symptom_listless,192
symptom_moist_rale,0.0,symptom_moist_rale,193
symptom_dry_and_moist_rales,0.0,symptom_dry_and_moist_rales,194
symptom_headache,0.0,symptom_headache,195
symptom_abdominal_distension,0.0,symptom_abdominal_distension,196
symptom_pharyngeal_red,0.0,symptom_pharyngeal_red,197
symptom_abdominal_tenderness,0.0,symptom_abdominal_tenderness,198
symptom_chest_tightness,0.0,symptom_chest_tightness,199
symptom_rebound_tenderness,0.0,symptom_rebound_tenderness,200
had_cardiac_surgery_flag,0.0,had_cardiac_surgery_flag,201
spo2_first,0.0,spo2_first,202
spo2_min,0.0,spo2_min,203
spo2_max,0.0,spo2_max,204
care_unit_PICU,0.0,care_unit_PICU,205
symptom_three_depressions_sign,0.0,symptom_three_depressions_sign,206
symptom_diarrhea,0.0,symptom_diarrhea,207
symptom_tenderness,0.0,symptom_tenderness,208
symptom_swelling,0.0,symptom_swelling,209
sbp_abnormal_for_age,0.0,sbp_abnormal_for_age,210
map_mean,0.0,map_mean,211
map_max,0.0,map_max,212
symptom_fever,0.0,symptom_fever,213
diastolic_bp_first,0.0,diastolic_bp_first,214
symptom_rale,0.0,symptom_rale,215
