column,dtype,n_total,n_missing,missing_pct,n_unique,min,max,mean,median,std,pct_zero,top_values,flags
ldh_first_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.6476,1.0,0.4777,35.2,"{1: 6448, 0: 3509}",
ldh_count,int64,9957,0,0.0,6,0.0,6.0,0.7412,1.0,0.642,35.2,"{1: 5623, 0: 3509, 2: 770, 4: 46, 3: 7}",
urea_max,float64,9957,0,0.0,1133,0.09,82.0,4.2212,3.65,3.5792,0.0,"{3.65: 2820, 3.1: 41, 3.5: 40, 3.0: 37, 4.2: 34}",
urea_max_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.7182,1.0,0.4499,28.2,"{1: 7151, 0: 2806}",
urea_min,float64,9957,0,0.0,1081,0.09,78.0,3.868,3.31,3.3496,0.0,"{3.31: 2820, 2.9: 48, 3.3: 42, 2.6: 42, 3.1: 39}",
urea_min_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.7182,1.0,0.4499,28.2,"{1: 7151, 0: 2806}",
urea_mean,float64,9957,0,0.0,1599,0.09,78.0,4.0515,3.5,3.4498,0.0,"{3.5: 2831, 3.1: 30, 2.9: 28, 3.2: 27, 2.5: 27}",
urea_mean_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.7182,1.0,0.4499,28.2,"{1: 7151, 0: 2806}",
urea_first,float64,9957,0,0.0,1092,0.09,82.0,4.0117,3.47,3.4903,0.0,"{3.47: 2821, 2.9: 51, 3.1: 45, 4.1: 44, 3.5: 44}",
urea_first_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.7182,1.0,0.4499,28.2,"{1: 7151, 0: 2806}",
urea_count,int64,9957,0,0.0,8,0.0,7.0,0.9672,1.0,0.7723,28.2,"{1: 4938, 0: 2806, 2: 1995, 3: 183, 4: 26}",
uric_acid_max,float64,9957,0,0.0,1061,7.0,1937.0,295.397,274.0,137.578,0.0,"{274.0: 3511, 260.0: 32, 257.0: 32, 263.0: 29, 248.0: 29}",possible_id_column
uric_acid_max_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.6491,1.0,0.4773,35.1,"{1: 6463, 0: 3494}",possible_id_column
uric_acid_min,float64,9957,0,0.0,1061,7.0,1937.0,293.7541,273.0,136.4017,0.0,"{273.0: 3521, 257.0: 32, 248.0: 30, 260.0: 30, 204.0: 29}",possible_id_column
uric_acid_min_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.6491,1.0,0.4773,35.1,"{1: 6463, 0: 3494}",possible_id_column
uric_acid_mean,float64,9957,0,0.0,1131,7.0,1937.0,294.3892,273.0,136.7955,0.0,"{273.0: 3522, 257.0: 32, 260.0: 30, 248.0: 30, 263.0: 29}",possible_id_column
uric_acid_mean_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.6491,1.0,0.4773,35.1,"{1: 6463, 0: 3494}",possible_id_column
uric_acid_first,float64,9957,0,0.0,1062,7.0,1937.0,294.8284,274.0,137.2009,0.0,"{274.0: 3511, 257.0: 32, 260.0: 30, 248.0: 29, 263.0: 29}",possible_id_column
uric_acid_first_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.6491,1.0,0.4773,35.1,"{1: 6463, 0: 3494}",possible_id_column
uric_acid_count,int64,9957,0,0.0,4,0.0,4.0,0.7106,1.0,0.5826,35.1,"{1: 5887, 0: 3494, 2: 558, 4: 18}",possible_id_column
ck_max,float64,9957,0,0.0,1517,0.0,132983.0,483.199,241.5,2338.9667,0.1,"{241.5: 3531, 72.0: 32, 93.0: 30, 95.0: 30, 84.0: 28}",
ck_max_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.6454,1.0,0.4784,35.5,"{1: 6426, 0: 3531}",
ck_min,float64,9957,0,0.0,1499,0.0,132983.0,448.4204,227.0,2111.49,0.3,"{227.0: 3536, 1.0: 52, 3.0: 35, 72.0: 32, 2.0: 30}",
ck_min_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.6454,1.0,0.4784,35.5,"{1: 6426, 0: 3531}",
ck_mean,float64,9957,0,0.0,1670,0.0,132983.0,465.7024,235.0,2178.0971,0.1,"{235.0: 3543, 72.0: 31, 93.0: 28, 68.0: 27, 94.0: 26}",
ck_mean_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.6454,1.0,0.4784,35.5,"{1: 6426, 0: 3531}",
ck_first,float64,9957,0,0.0,1507,0.0,132983.0,470.0494,236.0,2249.2738,0.2,"{236.0: 3538, 72.0: 32, 93.0: 29, 84.0: 28, 68.0: 28}",
ck_first_was_measured,int64,9957,0,0.0,2,0.0,1.0,0.6454,1.0,0.4784,35.5,"{1: 6426, 0: 3531}",
ck_count,int64,9957,0,0.0,6,0.0,6.0,0.7362,1.0,0.637,35.5,"{1: 5618, 0: 3531, 2: 759, 4: 41, 3: 6}",
spo2_max,float64,9957,0,0.0,27,61.0,100.0,99.6975,100.0,1.3966,0.0,"{100.0: 8874, 99.0: 380, 98.0: 357, 97.0: 123, 96.0: 84}",
