column,dtype,n_total,n_missing,missing_pct,n_unique,min,max,mean,median,std,pct_zero,top_values,flags
anion_gap_first,float64,2530,0,0.0,309,-4.8,39.2,8.1098,7.1,6.4116,0.5,"{7.1: 98, 5.6: 28, 3.6: 25, 6.6: 23, 3.1: 22}",
anion_gap_count,int64,2530,0,0.0,17,0.0,16.0,3.147,3.0,2.0025,3.4,"{3: 590, 2: 574, 1: 410, 4: 369, 5: 209}",
spo2_lab_max,float64,2530,0,0.0,180,51.2,100.5,98.0635,99.4,5.3747,0.0,"{100.0: 491, 99.4: 212, 99.8: 150, 99.6: 142, 99.7: 141}",
spo2_lab_min,float64,2530,0,0.0,432,50.2,100.3,90.7626,97.1,12.451,0.0,"{97.1: 98, 98.8: 72, 99.0: 71, 98.7: 69, 98.4: 67}",
spo2_lab_mean,float64,2530,0,0.0,890,51.2,100.3,95.3933,98.1833,6.7722,0.0,"{98.1833: 81, 100.0: 62, 98.9: 41, 99.2: 40, 99.4: 36}",
spo2_lab_first,float64,2530,0,0.0,345,50.9,100.3,94.3348,98.6,10.0229,0.0,"{100.0: 196, 98.6: 138, 99.5: 95, 99.3: 95, 99.2: 94}",
spo2_lab_count,int64,2530,0,0.0,16,0.0,15.0,3.1747,3.0,1.9858,3.1,"{3: 610, 2: 561, 1: 399, 4: 376, 5: 209}",
hemoglobin_max,float64,2530,0,0.0,200,0.58,24.6,11.9954,11.8,2.9811,0.0,"{11.8: 101, 12.0: 47, 11.1: 47, 12.4: 47, 11.9: 47}",
hemoglobin_min,float64,2530,0,0.0,276,0.0,20.5,7.344,8.7,4.7595,0.3,"{8.7: 61, 9.5: 36, 9.4: 36, 10.1: 36, 9.7: 35}",
hemoglobin_mean,float64,2530,0,0.0,1632,0.58,21.4333,9.2432,9.8667,3.8851,0.0,"{9.8667: 68, 10.9: 10, 9.7: 9, 12.1: 9, 10.2: 9}",
hemoglobin_first,float64,2530,0,0.0,281,0.11,22.7,8.4773,10.0,5.2129,0.0,"{10.0: 86, 9.8: 40, 10.6: 39, 11.5: 36, 11.7: 34}",
hemoglobin_count,int64,2530,0,0.0,19,0.0,18.0,4.9209,5.0,2.3647,2.4,"{5: 550, 4: 427, 3: 345, 6: 339, 2: 246}",
hematocrit_max,float64,2530,0,0.0,408,8.7,74.2,37.4932,36.7,8.0414,0.0,"{36.7: 76, 34.3: 25, 35.3: 24, 36.5: 22, 38.4: 20}",
