feature,importance
wbc_max,0.0
alc_first,0.0
alc_mean,0.0
alc_min,0.0
alc_max,0.0
anc_first,0.0
anc_mean,0.0
anc_min,0.0
anc_max,0.0
glucose_first,0.0
glucose_mean,0.0
glucose_min,0.0
glucose_max,0.0
ast_first,0.0
ast_mean,0.0
ast_min,0.0
ast_max,0.0
albumin_first,0.0
crp_min,0.0
attn_gender,0.0
fluid_input_total_ml,0.0
symptom_listless,0.0
symptom_anhelation,0.0
symptom_cyanosis,0.0
symptom_twitching,0.0
symptom_rale,0.0
symptom_cough,0.0
symptom_fever,0.0
n_positive_cultures,0.0
n_cultures_24h,0.0
n_antibiotics_24h,0.0
fluid_balance_ml,0.0
urine_output_per_hour,0.0
symptom_warm_extremities,0.0
urine_output_total_ml,0.0
sbp_abnormal_for_age,0.0
rr_abnormal_for_age,0.0
hr_abnormal_for_age,0.0
spo2_trend,0.0
temperature_trend,0.0
resp_rate_trend,0.0
heart_rate_trend,0.0
potassium_trend,0.0
sodium_trend,0.0
base_excess_trend,0.0
symptom_cool_extremities,0.0
symptom_edema,0.0
crp_mean,0.0
symptom_dry_and_moist_rales,0.0
gender,0.0
care_unit_PICU,0.0
care_unit_NICU,0.0
care_unit_General ICU,0.0
had_cardiac_surgery_flag,0.0
had_surgery_flag,0.0
symptom_abdominal_tenderness,0.0
symptom_rebound_tenderness,0.0
symptom_chest_tightness,0.0
symptom_headache,0.0
symptom_pharyngeal_red,0.0
symptom_moist_rale,0.0
symptom_hemorrhage,0.0
symptom_erythra,0.0
symptom_abdominal_distension,0.0
symptom_three_depressions_sign,0.0
symptom_phlegm_sound,0.0
symptom_tenderness,0.0
symptom_swelling,0.0
symptom_vomiting,0.0
symptom_arrhythmia,0.0
symptom_skin_jaundice,0.0
symptom_diarrhea,0.0
symptom_dysphoria,0.0
ph_trend,0.0
glucose_trend,0.0
hemoglobin_trend,0.0
uric_acid_first,0.0
systolic_bp_mean,0.0
systolic_bp_min,0.0
systolic_bp_max,0.0
spo2_first,0.0
spo2_mean,0.0
spo2_min,0.0
spo2_max,0.0
ck_first,0.0
ck_mean,0.0
ck_min,0.0
ck_max,0.0
uric_acid_mean,0.0
wbc_trend,0.0
uric_acid_min,0.0
uric_acid_max,0.0
urea_first,0.0
urea_mean,0.0
urea_min,0.0
urea_max,0.0
ldh_first,0.0
ldh_mean,0.0
ldh_min,0.0
ldh_max,0.0
crp_first,0.0
systolic_bp_first,0.0
diastolic_bp_max,0.0
diastolic_bp_min,0.0
diastolic_bp_mean,0.0
inr_trend,0.0
bilirubin_trend,0.0
creatinine_trend,0.0
platelets_trend,0.0
lactate_trend,0.0
shock_index,0.0
map_first,0.0
map_mean,0.0
map_min,0.0
map_max,0.0
temperature_first,0.0
temperature_mean,0.0
temperature_min,0.0
temperature_max,0.0
resp_rate_first,0.0
resp_rate_mean,0.0
resp_rate_min,0.0
resp_rate_max,0.0
heart_rate_first,0.0
heart_rate_mean,0.0
heart_rate_min,0.0
heart_rate_max,0.0
diastolic_bp_first,0.0
attn_care_unit_SICU,0.0
